filepath,track,artist,seeds,number_of_emotion_tags,valence_tags,arousal_tags,dominance_tags
Morricone_Ennio/Luomo_Dellarmonica.4.mid,L'uomo dell'armonica,Ennio Morricone,"['suspenseful', 'mysterious']",4,5.740955882352941,5.5925,6.032058823529412
Morricone_Ennio/Luomo_Dellarmonica.2.mid,L'uomo dell'armonica,Ennio Morricone,"['suspenseful', 'mysterious']",4,5.740955882352941,5.5925,6.032058823529412
Morricone_Ennio/Luomo_Dellarmonica.3.mid,L'uomo dell'armonica,Ennio Morricone,"['suspenseful', 'mysterious']",4,5.740955882352941,5.5925,6.032058823529412
Morricone_Ennio/Luomo_Dellarmonica.1.mid,L'uomo dell'armonica,Ennio Morricone,"['suspenseful', 'mysterious']",4,5.740955882352941,5.5925,6.032058823529412
Morricone_Ennio/Luomo_Dellarmonica.mid,L'uomo dell'armonica,Ennio Morricone,"['suspenseful', 'mysterious']",4,5.740955882352941,5.5925,6.032058823529412
Billie_Myers/Kiss_the_Rain.mid,Kiss The Rain,Billie Myers,['romantic'],15,6.7819626168224305,4.517196261682244,5.81570093457944
Metallica/Mama_Said.1.mid,Mama Said,Metallica,['sad'],9,4.09906976744186,2.972558139534884,4.56139534883721
Metallica/Mama_Said.mid,Mama Said,Metallica,['sad'],9,4.09906976744186,2.972558139534884,4.56139534883721
Peter_Gabriel/Dont_Give_Up.mid,Don't Give Up,Peter Gabriel,"['melancholy', 'sad']",15,5.399285714285713,3.733285714285714,5.3177142857142865
Peter_Gabriel/Walk_Through_the_Fire.mid,Walk Through The Fire,Peter Gabriel,['exotic'],1,7.55,6.9,5.65
Peter_Gabriel/Walk_Through_the_Fire.1.mid,Walk Through The Fire,Peter Gabriel,['exotic'],1,7.55,6.9,5.65
Carly_Simon/Nobody_Does_It_Better.1.mid,Nobody Does It Better,Carly Simon,['romantic'],7,7.4452173913043485,4.802608695652175,6.303478260869565
Carly_Simon/Nobody_Does_It_Better.mid,Nobody Does It Better,Carly Simon,['romantic'],7,7.4452173913043485,4.802608695652175,6.303478260869565
Carly_Simon/We_Have_No_Secrets.mid,We Have No Secrets,Carly Simon,['sophisticated'],1,6.320000000000001,5.13,6.179999999999999
Carly_Simon/Attitude_Dancing.mid,Attitude Dancing,Carly Simon,"['witty', 'flashy']",4,6.9775,5.535,6.4174999999999995
Mo-Do/Eins_Zwei_Polizei.mid,Eins Zwei Polizei,Modo,['hyper'],2,6.790000000000001,5.785,6.13
